ANO_ELEICAO,SIGLA_UE,DESCRICAO_CARGO,QTDE_VAGAS
1998,PE,GOVERNADOR,1
1998,PE,SENADOR,1
1998,PE,DEPUTADO FEDERAL,25
1998,PE,DEPUTADO ESTADUAL,49
1998,PI,GOVERNADOR,1
1998,PI,SENADOR,1
1998,PI,DEPUTADO FEDERAL,10
1998,PI,DEPUTADO ESTADUAL,30
1998,PR,GOVERNADOR,1
1998,PR,SENADOR,1
1998,PR,DEPUTADO FEDERAL,30
1998,PR,DEPUTADO ESTADUAL,54
1998,RJ,GOVERNADOR,1
1998,RJ,SENADOR,1
1998,RJ,DEPUTADO FEDERAL,46
1998,RJ,DEPUTADO ESTADUAL,70
1998,RN,GOVERNADOR,1
1998,RN,SENADOR,1
1998,RN,DEPUTADO FEDERAL,8
1998,RN,DEPUTADO ESTADUAL,24
1998,RO,GOVERNADOR,1
1998,RO,SENADOR,1
1998,RO,DEPUTADO FEDERAL,8
1998,RO,DEPUTADO ESTADUAL,24
1998,RR,GOVERNADOR,1
1998,RR,SENADOR,1
1998,RR,DEPUTADO FEDERAL,8
1998,RR,DEPUTADO ESTADUAL,24
1998,RS,GOVERNADOR,1
1998,RS,SENADOR,1
1998,RS,DEPUTADO FEDERAL,31
1998,RS,DEPUTADO ESTADUAL,55
1998,SC,GOVERNADOR,1
1998,SC,SENADOR,1
1998,SC,DEPUTADO FEDERAL,16
1998,SC,DEPUTADO ESTADUAL,40
1998,SE,GOVERNADOR,1
1998,SE,SENADOR,1
1998,SE,DEPUTADO FEDERAL,8
1998,SE,DEPUTADO ESTADUAL,24
1998,SP,GOVERNADOR,1
1998,SP,SENADOR,1
1998,SP,DEPUTADO FEDERAL,70
1998,SP,DEPUTADO ESTADUAL,94
1998,TO,GOVERNADOR,1
1998,TO,SENADOR,1
1998,TO,DEPUTADO FEDERAL,8
1998,TO,DEPUTADO ESTADUAL,24
2002,AC,GOVERNADOR,1
2002,AC,SENADOR,2
2002,AC,DEPUTADO FEDERAL,8
2002,AC,DEPUTADO ESTADUAL,24
2002,AL,GOVERNADOR,1
2002,AL,SENADOR,2
2002,AL,DEPUTADO FEDERAL,9
2002,AL,DEPUTADO ESTADUAL,27
2002,AM,GOVERNADOR,1
2002,AM,SENADOR,2
2002,AM,DEPUTADO FEDERAL,8
2002,AM,DEPUTADO ESTADUAL,24
2002,AP,GOVERNADOR,1
2002,AP,SENADOR,2
2002,AP,DEPUTADO FEDERAL,8
2002,AP,DEPUTADO ESTADUAL,24
2002,BA,GOVERNADOR,1
2002,BA,SENADOR,2
2002,BA,DEPUTADO FEDERAL,39
2002,BA,DEPUTADO ESTADUAL,63
2002,CE,GOVERNADOR,1
2002,CE,SENADOR,2
2002,CE,DEPUTADO FEDERAL,22
2002,CE,DEPUTADO ESTADUAL,46
2002,DF,GOVERNADOR,1
2002,DF,SENADOR,2
2002,DF,DEPUTADO FEDERAL,8
2002,DF,DEPUTADO DISTRITAL,24
2002,ES,GOVERNADOR,1
2002,ES,SENADOR,2
2002,ES,DEPUTADO FEDERAL,10
2002,ES,DEPUTADO ESTADUAL,30
2002,GO,GOVERNADOR,1
2002,GO,SENADOR,2
2002,GO,DEPUTADO FEDERAL,17
2002,GO,DEPUTADO ESTADUAL,41
2002,MA,GOVERNADOR,1
2002,MA,SENADOR,2
2002,MA,DEPUTADO FEDERAL,18
2002,MA,DEPUTADO ESTADUAL,42
2002,MG,GOVERNADOR,1
2002,MG,SENADOR,2
2002,MG,DEPUTADO FEDERAL,53
2002,MG,DEPUTADO ESTADUAL,77
2002,MS,GOVERNADOR,1
2002,MS,SENADOR,2
2002,MS,DEPUTADO FEDERAL,8
2002,MS,DEPUTADO ESTADUAL,24
2002,MT,GOVERNADOR,1
2002,MT,SENADOR,2
2002,MT,DEPUTADO FEDERAL,8
2002,MT,DEPUTADO ESTADUAL,24
2002,PA,GOVERNADOR,1
2002,PA,SENADOR,2
2002,PA,DEPUTADO FEDERAL,17
2002,PA,DEPUTADO ESTADUAL,41
2002,PB,GOVERNADOR,1
2002,PB,SENADOR,2
2002,PB,DEPUTADO FEDERAL,12
2002,PB,DEPUTADO ESTADUAL,36
2002,PE,GOVERNADOR,1
2002,PE,SENADOR,2
2002,PE,DEPUTADO FEDERAL,25
2002,PE,DEPUTADO ESTADUAL,49
2002,PI,GOVERNADOR,1
2002,PI,SENADOR,2
2002,PI,DEPUTADO FEDERAL,10
2002,PI,DEPUTADO ESTADUAL,30
2002,PR,GOVERNADOR,1
2002,PR,SENADOR,2
2002,PR,DEPUTADO FEDERAL,30
2002,PR,DEPUTADO ESTADUAL,54
2002,RJ,GOVERNADOR,1
2002,RJ,SENADOR,2
2002,RJ,DEPUTADO FEDERAL,46
2002,RJ,DEPUTADO ESTADUAL,70
2002,RN,GOVERNADOR,1
2002,RN,SENADOR,2
2002,RN,DEPUTADO FEDERAL,8
2002,RN,DEPUTADO ESTADUAL,24
2002,RO,GOVERNADOR,1
2002,RO,SENADOR,2
2002,RO,DEPUTADO FEDERAL,8
2002,RO,DEPUTADO ESTADUAL,24
2002,RR,GOVERNADOR,1
2002,RR,SENADOR,2
2002,RR,DEPUTADO FEDERAL,8
2002,RR,DEPUTADO ESTADUAL,24
2002,RS,GOVERNADOR,1
2002,RS,SENADOR,2
2002,RS,DEPUTADO FEDERAL,31
2002,RS,DEPUTADO ESTADUAL,55
2002,SC,GOVERNADOR,1
2002,SC,SENADOR,2
2002,SC,DEPUTADO FEDERAL,16
2002,SC,DEPUTADO ESTADUAL,40
2002,SE,GOVERNADOR,1
2002,SE,SENADOR,2
2002,SE,DEPUTADO FEDERAL,8
2002,SE,DEPUTADO ESTADUAL,24
2002,SP,GOVERNADOR,1
2002,SP,SENADOR,2
2002,SP,DEPUTADO FEDERAL,70
2002,SP,DEPUTADO ESTADUAL,94
2002,TO,GOVERNADOR,1
2002,TO,SENADOR,2
2002,TO,DEPUTADO FEDERAL,8
2002,TO,DEPUTADO ESTADUAL,24
2006,AC,GOVERNADOR,1
2006,AC,SENADOR,1
2006,AC,DEPUTADO FEDERAL,8
2006,AC,DEPUTADO ESTADUAL,24
2006,AL,GOVERNADOR,1
2006,AL,SENADOR,1
2006,AL,DEPUTADO FEDERAL,9
2006,AL,DEPUTADO ESTADUAL,27
2006,AM,GOVERNADOR,1
2006,AM,SENADOR,1
2006,AM,DEPUTADO FEDERAL,8
2006,AM,DEPUTADO ESTADUAL,24
2006,AP,GOVERNADOR,1
2006,AP,SENADOR,1
2006,AP,DEPUTADO FEDERAL,8
2006,AP,DEPUTADO ESTADUAL,24
2006,BA,GOVERNADOR,1
2006,BA,SENADOR,1
2006,BA,DEPUTADO FEDERAL,39
2006,BA,DEPUTADO ESTADUAL,63
2006,CE,GOVERNADOR,1
2006,CE,SENADOR,1
2006,CE,DEPUTADO FEDERAL,22
2006,CE,DEPUTADO ESTADUAL,46
2006,DF,GOVERNADOR,1
2006,DF,SENADOR,1
2006,DF,DEPUTADO FEDERAL,8
2006,DF,DEPUTADO DISTRITAL,24
2006,ES,GOVERNADOR,1
2006,ES,SENADOR,1
2006,ES,DEPUTADO FEDERAL,10
2006,ES,DEPUTADO ESTADUAL,30
2006,GO,GOVERNADOR,1
2006,GO,SENADOR,1
2006,GO,DEPUTADO FEDERAL,17
2006,GO,DEPUTADO ESTADUAL,41
2006,MA,GOVERNADOR,1
2006,MA,SENADOR,1
2006,MA,DEPUTADO FEDERAL,18
2006,MA,DEPUTADO ESTADUAL,42
2006,MG,GOVERNADOR,1
2006,MG,SENADOR,1
2006,MG,DEPUTADO FEDERAL,53
2006,MG,DEPUTADO ESTADUAL,77
2006,MS,GOVERNADOR,1
2006,MS,SENADOR,1
2006,MS,DEPUTADO FEDERAL,8
2006,MS,DEPUTADO ESTADUAL,24
2006,MT,GOVERNADOR,1
2006,MT,SENADOR,1
2006,MT,DEPUTADO FEDERAL,8
2006,MT,DEPUTADO ESTADUAL,24
2006,PA,GOVERNADOR,1
2006,PA,SENADOR,1
2006,PA,DEPUTADO FEDERAL,17
2006,PA,DEPUTADO ESTADUAL,41
2006,PB,GOVERNADOR,1
2006,PB,SENADOR,1
2006,PB,DEPUTADO FEDERAL,12
2006,PB,DEPUTADO ESTADUAL,36
2006,PE,GOVERNADOR,1
2006,PE,SENADOR,1
2006,PE,DEPUTADO FEDERAL,25
2006,PE,DEPUTADO ESTADUAL,49
2006,PI,GOVERNADOR,1
2006,PI,SENADOR,1
2006,PI,DEPUTADO FEDERAL,10
2006,PI,DEPUTADO ESTADUAL,30
2006,PR,GOVERNADOR,1
2006,PR,SENADOR,1
2006,PR,DEPUTADO FEDERAL,30
2006,PR,DEPUTADO ESTADUAL,54
2006,RJ,GOVERNADOR,1
2006,RJ,SENADOR,1
2006,RJ,DEPUTADO FEDERAL,46
2006,RJ,DEPUTADO ESTADUAL,70
2006,RN,GOVERNADOR,1
2006,RN,SENADOR,1
2006,RN,DEPUTADO FEDERAL,8
2006,RN,DEPUTADO ESTADUAL,24
2006,RO,GOVERNADOR,1
2006,RO,SENADOR,1
2006,RO,DEPUTADO FEDERAL,8
2006,RO,DEPUTADO ESTADUAL,24
2006,RR,GOVERNADOR,1
2006,RR,SENADOR,1
2006,RR,DEPUTADO FEDERAL,8
2006,RR,DEPUTADO ESTADUAL,24
2006,RS,GOVERNADOR,1
2006,RS,SENADOR,1
2006,RS,DEPUTADO FEDERAL,31
2006,RS,DEPUTADO ESTADUAL,55
2006,SC,GOVERNADOR,1
2006,SC,SENADOR,1
2006,SC,DEPUTADO FEDERAL,16
2006,SC,DEPUTADO ESTADUAL,40
2006,SE,GOVERNADOR,1
2006,SE,SENADOR,1
2006,SE,DEPUTADO FEDERAL,8
2006,SE,DEPUTADO ESTADUAL,24
2006,SP,GOVERNADOR,1
2006,SP,SENADOR,1
2006,SP,DEPUTADO FEDERAL,70
2006,SP,DEPUTADO ESTADUAL,94
2006,TO,GOVERNADOR,1
2006,TO,SENADOR,1
2006,TO,DEPUTADO FEDERAL,8
2006,TO,DEPUTADO ESTADUAL,24
2010,AC,GOVERNADOR,1
2010,AC,SENADOR,2
2010,AC,DEPUTADO FEDERAL,8
2010,AC,DEPUTADO ESTADUAL,24
2010,AL,GOVERNADOR,1
2010,AL,GOVERNADOR,1
2010,AL,SENADOR,2
2010,AL,DEPUTADO FEDERAL,9
2010,AL,DEPUTADO ESTADUAL,27
2010,AM,GOVERNADOR,1
2010,AM,SENADOR,2
2010,AM,DEPUTADO FEDERAL,8
2010,AM,DEPUTADO ESTADUAL,24
2010,AP,GOVERNADOR,1
2010,AP,GOVERNADOR,1
2010,AP,SENADOR,2
2010,AP,DEPUTADO FEDERAL,8
2010,AP,DEPUTADO ESTADUAL,24
2010,BA,GOVERNADOR,1
2010,BA,SENADOR,2
2010,BA,DEPUTADO FEDERAL,39
2010,BA,DEPUTADO ESTADUAL,63
2010,CE,GOVERNADOR,1
2010,CE,SENADOR,2
2010,CE,DEPUTADO FEDERAL,22
2010,CE,DEPUTADO ESTADUAL,46
2010,DF,GOVERNADOR,1
2010,DF,GOVERNADOR,1
2010,DF,SENADOR,2
2010,DF,DEPUTADO FEDERAL,8
2010,DF,DEPUTADO DISTRITAL,24
2010,ES,GOVERNADOR,1
2010,ES,SENADOR,2
2010,ES,DEPUTADO FEDERAL,10
2010,ES,DEPUTADO ESTADUAL,30
2010,GO,GOVERNADOR,1
2010,GO,GOVERNADOR,1
2010,GO,SENADOR,2
2010,GO,DEPUTADO FEDERAL,17
2010,GO,DEPUTADO ESTADUAL,41
2010,MA,GOVERNADOR,1
2010,MA,SENADOR,2
2010,MA,DEPUTADO FEDERAL,18
2010,MA,DEPUTADO ESTADUAL,42
2010,MG,GOVERNADOR,1
2010,MG,SENADOR,2
2010,MG,DEPUTADO FEDERAL,53
2010,MG,DEPUTADO ESTADUAL,77
2010,MS,GOVERNADOR,1
2010,MS,SENADOR,2
2010,MS,DEPUTADO FEDERAL,8
2010,MS,DEPUTADO ESTADUAL,24
2010,MT,GOVERNADOR,1
2010,MT,SENADOR,2
2010,MT,DEPUTADO FEDERAL,8
2010,MT,DEPUTADO ESTADUAL,24
2010,PA,GOVERNADOR,1
2010,PA,GOVERNADOR,1
2010,PA,SENADOR,2
2010,PA,DEPUTADO FEDERAL,17
2010,PA,DEPUTADO ESTADUAL,41
2010,PB,GOVERNADOR,1
2010,PB,GOVERNADOR,1
2010,PB,SENADOR,2
2010,PB,DEPUTADO FEDERAL,12
2010,PB,DEPUTADO ESTADUAL,36
2010,PE,GOVERNADOR,1
2010,PE,SENADOR,2
2010,PE,DEPUTADO FEDERAL,25
2010,PE,DEPUTADO ESTADUAL,49
2010,PI,GOVERNADOR,1
2010,PI,GOVERNADOR,1
2010,PI,SENADOR,2
2010,PI,DEPUTADO FEDERAL,10
2010,PI,DEPUTADO ESTADUAL,30
2010,PR,GOVERNADOR,1
2010,PR,SENADOR,2
2010,PR,DEPUTADO FEDERAL,30
2010,PR,DEPUTADO ESTADUAL,54
2010,RJ,GOVERNADOR,1
2010,RJ,SENADOR,2
2010,RJ,DEPUTADO FEDERAL,46
2010,RJ,DEPUTADO ESTADUAL,70
2010,RN,GOVERNADOR,1
2010,RN,SENADOR,2
2010,RN,DEPUTADO FEDERAL,8
2010,RN,DEPUTADO ESTADUAL,24
2010,RO,GOVERNADOR,1
2010,RO,GOVERNADOR,1
2010,RO,SENADOR,2
2010,RO,DEPUTADO FEDERAL,8
2010,RO,DEPUTADO ESTADUAL,24
2010,RR,GOVERNADOR,1
2010,RR,GOVERNADOR,1
2010,RR,SENADOR,2
2010,RR,DEPUTADO FEDERAL,8
2010,RR,DEPUTADO ESTADUAL,24
2010,RS,GOVERNADOR,1
2010,RS,SENADOR,2
2010,RS,DEPUTADO FEDERAL,31
2010,RS,DEPUTADO ESTADUAL,55
2010,SC,GOVERNADOR,1
2010,SC,SENADOR,2
2010,SC,DEPUTADO FEDERAL,16
2010,SC,DEPUTADO ESTADUAL,40
2010,SE,GOVERNADOR,1
2010,SE,SENADOR,2
2010,SE,DEPUTADO FEDERAL,8
2010,SE,DEPUTADO ESTADUAL,24
2010,SP,GOVERNADOR,1
2010,SP,SENADOR,2
2010,SP,DEPUTADO FEDERAL,70
2010,SP,DEPUTADO ESTADUAL,94
2010,TO,GOVERNADOR,1
2010,TO,SENADOR,2
2010,TO,DEPUTADO FEDERAL,8
2010,TO,DEPUTADO ESTADUAL,24
2014,AC,GOVERNADOR,1
2014,AC,SENADOR,1
2014,AC,DEPUTADO FEDERAL,8
2014,AC,DEPUTADO ESTADUAL,24
2014,AL,GOVERNADOR,1
2014,AL,SENADOR,1
2014,AL,DEPUTADO FEDERAL,9
2014,AL,DEPUTADO ESTADUAL,27
2014,AM,GOVERNADOR,1
2014,AM,GOVERNADOR,1
2014,AM,SENADOR,1
2014,AM,DEPUTADO FEDERAL,8
2014,AM,DEPUTADO ESTADUAL,24
2014,AP,GOVERNADOR,1
2014,AP,SENADOR,1
2014,AP,DEPUTADO FEDERAL,8
2014,AP,DEPUTADO ESTADUAL,24
2014,BA,GOVERNADOR,1
2014,BA,SENADOR,1
2014,BA,DEPUTADO FEDERAL,39
2014,BA,DEPUTADO ESTADUAL,63
2014,CE,GOVERNADOR,1
2014,CE,SENADOR,1
2014,CE,DEPUTADO FEDERAL,22
2014,CE,DEPUTADO ESTADUAL,46
2014,DF,GOVERNADOR,1
2014,DF,SENADOR,1
2014,DF,DEPUTADO FEDERAL,8
2014,DF,DEPUTADO DISTRITAL,24
2014,ES,GOVERNADOR,1
2014,ES,SENADOR,1
2014,ES,DEPUTADO FEDERAL,10
2014,ES,DEPUTADO ESTADUAL,30
2014,GO,GOVERNADOR,1
2014,GO,SENADOR,1
2014,GO,DEPUTADO FEDERAL,17
2014,GO,DEPUTADO ESTADUAL,41
2014,MA,GOVERNADOR,1
2014,MA,SENADOR,1
2014,MA,DEPUTADO FEDERAL,18
2014,MA,DEPUTADO ESTADUAL,42
2014,MG,GOVERNADOR,1
2014,MG,SENADOR,1
2014,MG,DEPUTADO FEDERAL,53
2014,MG,DEPUTADO ESTADUAL,77
2014,MS,GOVERNADOR,1
2014,MS,SENADOR,1
2014,MS,DEPUTADO FEDERAL,8
2014,MS,DEPUTADO ESTADUAL,24
2014,MT,GOVERNADOR,1
2014,MT,SENADOR,1
2014,MT,DEPUTADO FEDERAL,8
2014,MT,DEPUTADO ESTADUAL,24
2014,PA,GOVERNADOR,1
2014,PA,SENADOR,1
2014,PA,DEPUTADO FEDERAL,17
2014,PA,DEPUTADO ESTADUAL,41
2014,PB,GOVERNADOR,1
2014,PB,SENADOR,1
2014,PB,DEPUTADO FEDERAL,12
2014,PB,DEPUTADO ESTADUAL,36
2014,PE,GOVERNADOR,1
2014,PE,SENADOR,1
2014,PE,DEPUTADO FEDERAL,25
2014,PE,DEPUTADO ESTADUAL,49
2014,PI,GOVERNADOR,1
2014,PI,SENADOR,1
2014,PI,DEPUTADO FEDERAL,10
2014,PI,DEPUTADO ESTADUAL,30
2014,PR,GOVERNADOR,1
2014,PR,SENADOR,1
2014,PR,DEPUTADO FEDERAL,30
2014,PR,DEPUTADO ESTADUAL,54
2014,RJ,GOVERNADOR,1
2014,RJ,SENADOR,1
2014,RJ,DEPUTADO FEDERAL,46
2014,RJ,DEPUTADO ESTADUAL,70
2014,RN,GOVERNADOR,1
2014,RN,SENADOR,1
2014,RN,DEPUTADO FEDERAL,8
2014,RN,DEPUTADO ESTADUAL,24
2014,RO,GOVERNADOR,1
2014,RO,SENADOR,1
2014,RO,DEPUTADO FEDERAL,8
2014,RO,DEPUTADO ESTADUAL,24
2014,RR,GOVERNADOR,1
2014,RR,SENADOR,1
2014,RR,DEPUTADO FEDERAL,8
2014,RR,DEPUTADO ESTADUAL,24
2014,RS,GOVERNADOR,1
2014,RS,SENADOR,1
2014,RS,DEPUTADO FEDERAL,31
2014,RS,DEPUTADO ESTADUAL,55
2014,SC,GOVERNADOR,1
2014,SC,SENADOR,1
2014,SC,DEPUTADO FEDERAL,16
2014,SC,DEPUTADO ESTADUAL,40
2014,SE,GOVERNADOR,1
2014,SE,SENADOR,1
2014,SE,DEPUTADO FEDERAL,8
2014,SE,DEPUTADO ESTADUAL,24
2014,SP,GOVERNADOR,1
2014,SP,SENADOR,1
2014,SP,DEPUTADO FEDERAL,70
2014,SP,DEPUTADO ESTADUAL,94
2014,TO,GOVERNADOR,1
2014,TO,GOVERNADOR,1
2014,TO,SENADOR,1
2014,TO,DEPUTADO FEDERAL,8
2014,TO,DEPUTADO ESTADUAL,24
1998,BR,PRESIDENTE,1
2002,BR,PRESIDENTE,1
2006,BR,PRESIDENTE,1
2010,BR,PRESIDENTE,1
2014,BR,PRESIDENTE,1
