ANO_ELEICAO,NUM_TURNO,SIGLA_UE,DESCRICAO_CARGO,APTOS,COMPARECIMENTO
2002,1,PA,DEPUTADO ESTADUAL,3569096,2776789
2002,1,PA,DEPUTADO FEDERAL,3569096,2776789
2002,1,PA,GOVERNADOR,3569096,2776796
2002,1,PA,SENADOR,7138192,5553592
2002,1,PB,DEPUTADO ESTADUAL,2322068,1905507
2002,1,PB,DEPUTADO FEDERAL,2322068,1905507
2002,1,PB,GOVERNADOR,2322068,1905508
2002,1,PB,SENADOR,4644136,3811016
2002,1,PE,DEPUTADO ESTADUAL,5396667,4246223
2002,1,PE,DEPUTADO FEDERAL,5396667,4246223
2002,1,PE,GOVERNADOR,5396667,4246228
2002,1,PE,SENADOR,10793334,8492456
2002,1,PI,DEPUTADO ESTADUAL,1848292,1556633
2002,1,PI,DEPUTADO FEDERAL,1848292,1556633
2002,1,PI,GOVERNADOR,1848292,1556642
2002,1,PI,SENADOR,3696584,3113284
2002,1,PR,DEPUTADO ESTADUAL,6663199,5585219
2002,1,PR,DEPUTADO FEDERAL,6663199,5585219
2002,1,PR,GOVERNADOR,6663199,5585219
2002,1,PR,SENADOR,13326398,11170438
2002,1,RJ,DEPUTADO ESTADUAL,10211785,8712298
2002,1,RJ,DEPUTADO FEDERAL,10211785,8712298
2002,1,RJ,GOVERNADOR,10211785,8712300
2002,1,RJ,SENADOR,20423570,17424600
2002,1,RN,DEPUTADO ESTADUAL,1917382,1579863
2002,1,RN,DEPUTADO FEDERAL,1917382,1579863
2002,1,RN,GOVERNADOR,1917382,1579867
2002,1,RN,SENADOR,3834764,3159734
2002,1,RO,DEPUTADO ESTADUAL,882545,693449
2002,1,RO,DEPUTADO FEDERAL,882545,693449
2002,1,RO,GOVERNADOR,882545,693456
2002,1,RO,SENADOR,1765090,1386912
2002,1,RR,DEPUTADO ESTADUAL,208524,175210
2002,1,RR,DEPUTADO FEDERAL,208524,175210
2002,1,RR,GOVERNADOR,208524,175211
2002,1,RR,SENADOR,417048,350422
2002,1,RS,DEPUTADO ESTADUAL,7352139,6396973
